"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#ComunicadoFPF <U+25B6><U+FE0F> https://t.co/roKQ2Lf4is https://t.co/9DZBXgi5CQ",FALSE,114,NA,2021-09-16 17:22:17,FALSE,NA,"1438553843470635011",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",20,FALSE,FALSE,NA,NA
"CONAR inició curso de actualización de reglas de juego para árbitros de futsal. 

Más información <U+25B6><U+FE0F>… https://t.co/pz0NAl6vDX",FALSE,56,NA,2021-09-13 17:26:56,TRUE,NA,"1437467848989974534",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",1,FALSE,FALSE,NA,NA
"Un día como hoy, en 1925, se fundó la @FBF_BO. 

¡Muchas felicidades y los mejores deseos! <U+0001F38A> https://t.co/ZMSXLIsUZD",FALSE,115,NA,2021-09-12 18:24:28,FALSE,NA,"1437119938855047170",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",4,FALSE,FALSE,NA,NA
"¡Ganemos este partido! <U+0001F1F5><U+0001F1EA>

Gracias al trabajo de las principales autoridades del país, en conjunto con @Minsa_Peru… https://t.co/uAWNYqxPdi",FALSE,160,NA,2021-09-12 16:15:26,TRUE,NA,"1437087467010670597",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",19,FALSE,FALSE,NA,NA
"Comunicado de la Comisión Electoral designada por la Asamblea de Bases de la @TuFPF <U+25B6><U+FE0F> https://t.co/R3aET3bGFo https://t.co/llq4bUc30u",FALSE,79,NA,2021-09-11 00:15:55,FALSE,NA,"1436483609301557248",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TuFPF",6,FALSE,FALSE,NA,NA
"¡Es tiempo de alentar! <U+0001F559>

Presentamos el Reloj Oficial de la Federación Peruana de Fútbol <U+0001F1F5><U+0001F1EA>

Link de preventa <U+25B6><U+FE0F>… https://t.co/ljtBorx9GD",FALSE,165,NA,2021-09-09 19:16:54,TRUE,NA,"1436045968886177794",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",12,FALSE,FALSE,NA,NA
"¡Un título inolvidable! <U+0001F3C6>

Un día como hoy, en 2004, el histórico @Club_Cienciano alcanzó la @ConmebolRecopa tras v… https://t.co/g4zXjK4itE",FALSE,248,NA,2021-09-07 20:37:03,TRUE,NA,"1435341364540190731",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TuFPF",27,FALSE,FALSE,NA,NA
"¡Con alma y corazón! <U+0001F5E3>

Disfrutemos de estar en la tribuna alentando a nuestra Selección <U+0001F1F5><U+0001F1EA>. 

<U+0001F39F> Adquiere tus entra… https://t.co/8czhAZxjCy",FALSE,174,NA,2021-09-05 02:35:10,TRUE,NA,"1434344325454909442",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",15,FALSE,FALSE,NA,NA
"¡No dejes de alentar! <U+0001F5E3>

Asiste al Estadio Nacional y pasa un domingo junto a nuestra @SeleccionPeru <U+0001F1F5><U+0001F1EA>. 

<U+0001F39F> Adquie… https://t.co/zBNWtwuRCl",FALSE,94,NA,2021-09-04 17:06:44,TRUE,NA,"1434201273499365381",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",8,FALSE,FALSE,NA,NA
"¡Cuida tu salud y disfruta del fútbol! <U+261D><U+0001F3FB>

Si asistes al duelo entre nuestra @SeleccionPeru <U+0001F1F5><U+0001F1EA> y @SeleVinotinto <U+0001F1FB><U+0001F1EA>… https://t.co/PgCL4tHsOj",FALSE,77,NA,2021-09-04 15:51:14,TRUE,NA,"1434182274564624384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",6,FALSE,FALSE,NA,NA
"¡Atención vacunados en el extranjero! <U+0001F6A8>

Toma en consideración esta información para asistir al duelo entre nuestra… https://t.co/YNg3TDuVI0",FALSE,122,NA,2021-09-04 02:28:47,TRUE,NA,"1433980332286619653",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",9,FALSE,FALSE,NA,NA
"¡Atención abonados! <U+261D><U+0001F3FB>

Información importante para asistir al duelo entre nuestra @SeleccionPeru <U+0001F1F5><U+0001F1EA> y… https://t.co/vsx4DM5I0s",FALSE,73,NA,2021-09-04 02:00:08,TRUE,NA,"1433973121887911937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",8,FALSE,FALSE,NA,NA
"¡Ya estamos a la venta! <U+0001F6A8>

Adquiere tus entradas para el duelo entre nuestra @SeleccionPeru <U+0001F1F5><U+0001F1EA> y @SeleVinotinto <U+0001F1FB><U+0001F1EA>… https://t.co/60wV0ayFyA",FALSE,144,NA,2021-09-04 01:32:58,TRUE,NA,"1433966284903964672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",18,FALSE,FALSE,NA,NA
"¡Atención hincha 'blanquirrojo'! <U+0001F1F5><U+0001F1EA>

Hoy a las 8:30 p.m. se abre la venta de entradas para el encuentro ante Venezu… https://t.co/iOOqBxplGd",FALSE,92,NA,2021-09-04 00:56:13,TRUE,NA,"1433957037159895041",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",14,FALSE,FALSE,NA,NA
"Un día como hoy, en 1922, se fundó el @Club_JuanAurich. 

¡Muchas felicidades a todos los seguidores del 'Ciclón de… https://t.co/sLeQBzX5XW",FALSE,156,NA,2021-09-03 17:50:46,TRUE,NA,"1433849966204751873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",16,FALSE,FALSE,NA,NA
"¡Atención hinchas! <U+0001F6A8><U+0001F3DF>

Aún puedes adquirir entradas en: 

<U+0001F4BB> https://t.co/f1EY0Fll1G

#LasVacunasSíProtegen… https://t.co/qE1m0QntSP",FALSE,172,NA,2021-09-02 22:27:09,TRUE,NA,"1433557134600388624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",17,FALSE,FALSE,NA,NA
"¡Atención a los medios de prensa! <U+261D><U+0001F3FB>

La @TuFPF  informa a los periodistas acreditados para el partido de nuestra… https://t.co/YanB1Ku5Rz",FALSE,105,NA,2021-09-02 18:43:41,TRUE,NA,"1433500898110722050",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TuFPF",5,FALSE,FALSE,NA,NA
"¡Recomendaciones a seguir! <U+0001F6A8>

#LasVacunasSíProtegen
#ArribaPerú <U+0001F4AA><U+0001F3FC> https://t.co/pn3LBoPnWO",FALSE,384,NA,2021-09-02 17:53:51,FALSE,NA,"1433488356852256774",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",41,FALSE,FALSE,NA,NA
"¡Recuerda si vas al estadio! <U+0001F55A><U+0001F3DF>

Estos son los horarios de ingreso a las tribunas del Estadio Nacional. Alentemos a… https://t.co/2QuU6ZP1Zw",FALSE,310,NA,2021-09-02 17:37:52,TRUE,NA,"1433484331008286724",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",31,FALSE,FALSE,NA,NA
"¡Atención al público asistente! <U+0001F4DD>

Tomar en cuenta las rutas de acceso para el ingreso a las tribunas del Estadio N… https://t.co/SEq11a8CZ7",FALSE,165,NA,2021-09-02 17:27:04,TRUE,NA,"1433481613522964483",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",16,FALSE,FALSE,NA,NA
"¡Información importante! <U+270D><U+FE0F>

Estos son los pasos a seguir para adquirir entradas para el duelo entre nuestra… https://t.co/MXy9gxIseN",FALSE,190,NA,2021-09-02 02:26:07,TRUE,NA,"1433254882123915264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",29,FALSE,FALSE,NA,NA
"¡Atención abonados! <U+261D><U+0001F3FB>

Estos son los pasos que deben seguir para alentar desde las tribunas a nuestra… https://t.co/y1nSBr01Se",FALSE,308,NA,2021-09-02 01:41:48,TRUE,NA,"1433243729951924229",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",37,FALSE,FALSE,NA,NA
